Cruise,Latitude,Longitude,Date_Time_PST,Temperature,Salinity,PN,POC,Beam_attenuation,ISO_DateTime_UTC
OC1611B,44.6489,-124.1156,12/06/2016 20:27,12.34,30.71,0.73,6.46,2.09,2016-12-07T04:27Z
OC1611B,44.6505,-124.1644,12/06/2016 20:53,12.2,30.87,0.66,5.97,2.00,2016-12-07T04:53Z
OC1611B,44.651,-124.1896,12/06/2016 21:06,12.38,31.05,1.55,11.57,1.98,2016-12-07T05:06Z
OC1611B,44.6513,-124.3066,12/06/2016 23:00,12.59,31.66,0.74,6.52,0.27,2016-12-07T07:00Z
OC1611B,44.6514,-124.3586,12/06/2016 23:26,12.77,31.81,0.65,5.71,0.22,2016-12-07T07:26Z
OC1611B,44.6511,-124.3844,12/06/2016 23:39,12.8,31.95,0.63,5.86,0.21,2016-12-07T07:39Z
OC1611B,44.6508,-124.4362,12/07/2016 00:05,13.05,32.11,1.2,9.52,0.20,2016-12-07T08:05Z
OC1611B,44.6494,-124.5014,12/07/2016 00:38,12.94,32.5,0.51,3.66,0.19,2016-12-07T08:38Z
OC1611B,44.6499,-124.5544,12/07/2016 01:04,12.9,32.49,0.66,4.15,0.20,2016-12-07T09:04Z
OC1611B,44.6504,-124.5809,12/07/2016 01:17,12.96,32.5,0.52,3.44,0.18,2016-12-07T09:17Z
OC1611B,44.6501,-124.6327,12/07/2016 01:43,12.95,32.51,0.51,3.37,0.14,2016-12-07T09:43Z
OC1611B,44.6519,-124.647,12/07/2016 03:05,12.93,32.46,0.46,2.97,0.14,2016-12-07T11:05Z
OC1611B,44.6533,-124.59,12/07/2016 03:51,12.9,32.49,0.47,3.09,0.18,2016-12-07T11:51Z
OC1611B,44.6473,-124.5302,12/07/2016 04:15,12.9,32.5,0.53,3.45,0.17,2016-12-07T12:15Z
OC1611B,44.6513,-124.5297,12/07/2016 05:24,12.92,32.48,0.54,3.51,0.16,2016-12-07T13:24Z
OC1611B,44.6486,-124.5185,12/07/2016 05:49,12.91,32.5,0.52,3.08,0.16,2016-12-07T13:49Z
OC1611B,44.6485,-124.4059,12/07/2016 06:35,12.64,31.74,0.51,3.79,0.17,2016-12-07T14:35Z
OC1611B,44.6514,-124.4058,12/07/2016 06:58,12.61,31.75,0.47,3.11,0.17,2016-12-07T14:58Z
OC1611B,44.6551,-124.3663,12/07/2016 07:44,12.74,31.92,0.66,3.98,0.16,2016-12-07T15:44Z
OC1611B,44.6498,-124.2955,12/07/2016 08:36,12.5,31.85,0.46,3.21,0.20,2016-12-07T16:36Z
OC1611B,44.6521,-124.2985,12/07/2016 09:23,12.41,31.82,0.81,5.07,0.21,2016-12-07T17:23Z
OC1611B,44.6533,-124.2751,12/07/2016 09:46,12.21,31.6,0.48,3.26,0.24,2016-12-07T17:46Z
OC1611B,44.6483,-124.228,12/07/2016 10:32,12.09,31.19,0.54,3.97,0.34,2016-12-07T18:32Z
OC1611B,44.6534,-124.234,12/07/2016 11:23,12.11,31.23,0.43,3.76,0.33,2016-12-07T19:23Z
OC1611B,44.6501,-124.1784,12/07/2016 12:09,12.12,31.35,1.16,9.02,0.23,2016-12-07T20:09Z
OC1611B,44.6499,-124.1766,12/07/2016 12:32,12.14,31.36,0.69,4.44,0.23,2016-12-07T20:32Z
OC1611B,44.6498,-124.1515,12/07/2016 13:19,11.8,30.77,0.48,4.15,0.35,2016-12-07T21:19Z
OC1611B,44.6501,-124.119,12/07/2016 14:36,12.14,30.94,0.66,3.87,0.22,2016-12-07T22:36Z
OC1611B,44.65,-124.1827,12/07/2016 15:22,12.16,31.43,0.59,3.65,0.21,2016-12-07T23:22Z
OC1611B,44.651,-124.1734,12/07/2016 15:45,12.08,31.25,0.65,4,0.23,2016-12-07T23:45Z
OC1611B,44.6577,-124.1524,12/07/2016 16:31,11.91,30.9,0.72,4.75,0.29,2016-12-08T00:31Z
