* Sea-Bird SBE 25 Data File:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = E:\CTD\005.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.21g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Apr 13 2016 01:31:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 33.6379 N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 32.4416 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Ship:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Station:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Operator:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Apr 13 2016 01:31:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude [deg],Longitude [deg],"Salinity, Practical [PSU]","Temperature [ITS-90, deg C]",Voltage 0,"Depth [salt water, m]",Conductivity [uS/cm],Conductivity [mS/cm],Conductivity [S/m],"Density [density, kg/m^3]","Density [sigma-theta, kg/m^3]","Density [sigma-t, kg/m^3 ]","Density [sigma-1, kg/m^3 ]","Density [sigma-4, kg/m^3 ]","Depth [salt water, m]",Descent Rate [m/s],"Fluorescence, WET Labs WETstar [mg/m^3]","Fluorescence, WET Labs WETstar, 2 [mg/m^3]","Fluorescence, WET Labs WETstar, Diff, 2 - 1 [mg/m^3]","Time, Elapsed [minutes]",Voltage 1,Voltage 2,Voltage 3,Voltage 4,"PAR/Irradiance, Biospherical/Licor","Oxygen, SBE 43 [% saturation]",Nitrogen Saturation [mg/l],Bottles Fired,Bottle Position in Carousel,Acceleration [m/s^2],flag:  0.000e+00
31.56062,-80.5407,33.4447,19.1954,0.2039,1.227,4.52E+04,45.230479,4.523048,1023.7887,23.7833,23.7833,28.0775,40.4048,1.227,-4.21E-16,0.7331,7.3528,6.6198,0,0.1685,0.2063,2.1148,2.293,6.08E+00,90.582,12.17331,0,0,-1.68E-15,0.00E+00
31.56062,-80.5407,33.4437,19.1948,0.2015,1.227,4.52E+04,45.228829,4.522883,1023.7881,23.7828,23.7827,28.077,40.4043,1.227,0,0.7194,7.3528,6.6334,0.0042,0.1685,0.2063,2.116,2.348,5.15E+00,90.674,12.17349,0,0,1.68E-15,0.00E+00
31.56062,-80.5407,33.4447,19.1949,0.199,1.166,4.52E+04,45.230049,4.523005,1023.7886,23.7835,23.7834,28.0777,40.405,1.166,-0.016,0.7057,7.3528,6.6471,0.0083,0.1685,0.2063,2.1136,2.3175,5.65E+00,90.507,12.1734,0,0,-0.06,0.00E+00
31.56062,-80.5407,33.4444,19.1953,0.2039,1.166,4.52E+04,45.230049,4.523005,1023.7882,23.7831,23.7831,28.0773,40.4046,1.166,-0.028,0.7331,7.3528,6.6198,0.0125,0.1685,0.1941,2.1074,2.2357,7.23E+00,90.02,12.17334,0,0,-0.05,0.00E+00
31.56064,-80.54072,33.4433,19.1953,0.2051,1.166,4.52E+04,45.228757,4.522876,1023.7874,23.7823,23.7823,28.0765,40.4038,1.166,-0.037,0.7399,7.3528,6.6129,0.0167,0.1685,0.1941,2.0989,2.2332,7.29E+00,89.262,12.17343,0,0,-0.03,0.00E+00
31.56064,-80.54072,33.4431,19.1953,0.2112,1.106,4.52E+04,45.228398,4.52284,1023.7869,23.7821,23.7821,28.0763,40.4036,1.106,-0.057,0.7741,7.3528,6.5787,0.0208,0.1685,0.1929,2.0879,2.2479,6.97E+00,88.228,12.17345,0,0,-0.08,0.00E+00
31.56064,-80.54072,33.4423,19.1953,0.2149,1.106,4.52E+04,45.227538,4.522754,1023.7864,23.7816,23.7815,28.0758,40.4031,1.106,-0.069,0.7946,7.3528,6.5582,0.025,0.1685,0.1941,2.0781,2.2466,7.00E+00,87.201,12.1735,0,0,-0.05,0.00E+00
31.56064,-80.54072,33.4416,19.1953,0.2112,1.106,4.52E+04,45.226677,4.522668,1023.7858,23.781,23.781,28.0752,40.4026,1.106,-0.073,0.7741,7.2478,6.4737,0.0292,0.1673,0.1941,2.0708,2.1966,8.14E+00,86.348,12.17356,0,0,-0.02,0.00E+00
31.56064,-80.54072,33.4415,19.1955,0.2088,1.106,4.52E+04,45.226677,4.522668,1023.7857,23.7808,23.7808,28.0751,40.4024,1.106,-0.069,0.7604,7.2478,6.4874,0.0333,0.1673,0.2015,2.0635,2.2381,7.18E+00,85.567,12.17353,0,0,0.02,0.00E+00
31.56064,-80.54072,33.4419,19.1959,0.2076,1.166,4.52E+04,45.227538,4.522754,1023.7861,23.781,23.781,28.0752,40.4026,1.166,-0.041,0.7536,7.4578,6.7043,0.0375,0.1697,0.2015,2.0574,2.1905,8.29E+00,84.99,12.17342,0,0,0.11,0.00E+00
31.56064,-80.54072,33.4496,19.1959,0.21,1.166,4.52E+04,45.236864,4.523686,1023.792,23.7869,23.7869,28.0811,40.4083,1.166,-0.008,0.7673,7.5629,6.7956,0.0417,0.1709,0.2015,2.0525,2.2149,7.70E+00,84.699,12.17282,0,0,0.13,0.00E+00
31.56064,-80.54072,33.4507,19.1957,0.2137,1.166,4.52E+04,45.238083,4.523808,1023.7929,23.7878,23.7877,28.082,40.4091,1.166,0.008,0.7878,7.4578,6.6701,0.0458,0.1697,0.2015,2.0476,2.2198,7.59E+00,84.566,12.17276,0,0,0.06,0.00E+00
31.56064,-80.54072,33.4457,19.1957,0.2137,1.166,4.52E+04,45.232129,4.523213,1023.7891,23.784,23.784,28.0782,40.4055,1.166,0.024,0.7878,7.4578,6.6701,0.05,0.1697,0.21,2.0427,2.2186,7.62E+00,84.512,12.17314,0,0,0.06,0.00E+00
31.56064,-80.54072,33.4404,19.1959,0.221,1.166,4.52E+04,45.225816,4.522582,1023.785,23.7799,23.7798,28.0741,40.4014,1.166,0.041,0.8288,7.3528,6.524,0.0542,0.1685,0.21,2.0379,2.2454,7.02E+00,84.471,12.17352,0,0,0.06,0.00E+00
