* Sea-Bird SBE 25 Data File:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = C:\Users\Install\data\SAV-16-34\003.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 042868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Oct 18 2016 23:43:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 15.4317 N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 10.6791 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Oct 19 2016 11:43:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Latitude [deg], Longitude [deg]," Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs WETstar [mg/m^3]"," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2],flag
31.25718,-80.178,36.1061,26.4206,0.2576,2.073,5.608862,56.08862,5.61E+04,1023.7447,23.7359,23.7357,27.9118,31.9968,8.42E-16,1.0339,1.0339,0,0.1209,0.1917,2.1306,2.3272,5.49E+00,91.117,10.67925,0,0,3.37E-15,0.00E+00
31.25718,-80.178,36.1035,26.4201,0.2479,2.013,5.608454,56.084536,5.61E+04,1023.7427,23.7341,23.734,27.91,31.9951,-0.016,0.9792,0.9792,0.0042,0.1197,0.1709,2.1343,2.3871,4.58E+00,91.372,10.6795,0,0,-0.06,0.00E+00
31.25718,-80.178,36.1021,26.4196,0.2454,1.953,5.608202,56.082022,5.61E+04,1023.7415,23.7332,23.733,27.9091,31.9941,-0.045,0.9656,0.9656,0.0083,0.1209,0.1709,2.1343,2.3211,5.59E+00,91.411,10.67967,0,0,-0.11,0.00E+00
31.25718,-80.178,36.1025,26.4186,0.2381,1.832,5.608147,56.081472,5.61E+04,1023.7416,23.7338,23.7336,27.9097,31.9948,-0.097,0.9245,0.9245,0.0125,0.1197,0.1709,2.127,2.3516,5.10E+00,90.924,10.6798,0,0,-0.21,0.00E+00
31.2572,-80.178,36.103,26.418,0.2369,1.832,5.608147,56.081472,5.61E+04,1023.7421,23.7343,23.7342,27.9103,31.9953,-0.134,0.9177,0.9177,0.0167,0.1209,0.1709,2.116,2.3626,4.93E+00,90.091,10.67986,0,0,-0.15,0.00E+00
31.2572,-80.178,36.1033,26.4187,0.254,1.771,5.608257,56.082571,5.61E+04,1023.7419,23.7344,23.7342,27.9103,31.9953,-0.17,1.0134,1.0134,0.0208,0.1197,0.2063,2.1038,2.3492,5.13E+00,89.069,10.67974,0,0,-0.15,0.00E+00
31.2572,-80.178,36.1039,26.4202,0.2552,1.771,5.608508,56.085084,5.61E+04,1023.7419,23.7343,23.7342,27.9102,31.9953,-0.187,1.0203,1.0203,0.025,0.1197,0.2186,2.0879,2.3968,4.45E+00,87.713,10.67946,0,0,-0.06,0.00E+00
31.2572,-80.178,36.1051,26.421,0.2479,1.711,5.60876,56.087597,5.61E+04,1023.7423,23.735,23.7349,27.9109,31.9959,-0.199,0.9792,0.9792,0.0292,0.1209,0.2186,2.0757,2.2491,6.95E+00,86.539,10.67925,0,0,-0.05,0.00E+00
31.2572,-80.178,36.1054,26.421,0.2808,1.771,5.608807,56.088068,5.61E+04,1023.7428,23.7353,23.7351,27.9112,31.9962,-0.17,1.1638,1.1638,0.0333,0.1197,0.2198,2.0696,2.3468,5.17E+00,85.814,10.67923,0,0,0.11,0.00E+00
31.2572,-80.178,36.1066,26.4214,0.2589,1.832,5.609011,56.09011,5.61E+04,1023.7438,23.736,23.7358,27.9119,31.9969,-0.106,1.0408,1.0408,0.0375,0.1197,0.2186,2.0672,2.3675,4.86E+00,85.475,10.67909,0,0,0.26,0.00E+00
31.2572,-80.178,36.0984,26.423,0.2796,1.892,5.608053,56.080529,5.61E+04,1023.7373,23.7293,23.7291,27.9052,31.9902,-0.028,1.157,1.157,0.0417,0.1197,0.1954,2.0647,2.4188,4.16E+00,85.392,10.67938,0,0,0.31,0.00E+00
31.2572,-80.178,36.103,26.4236,0.2759,2.013,5.60876,56.087598,5.61E+04,1023.7411,23.7326,23.7324,27.9085,31.9935,0.069,1.1365,1.1365,0.0458,0.1209,0.1954,2.0562,2.3077,5.82E+00,85.096,10.67898,0,0,0.39,0.00E+00
31.2572,-80.178,36.0981,26.4233,0.2466,1.953,5.608053,56.080529,5.61E+04,1023.7373,23.729,23.7289,27.9049,31.99,0.106,0.9724,0.9724,0.05,0.1209,0.1954,2.044,2.2723,6.48E+00,84.568,10.67935,0,0,0.15,0.00E+00
