Sea-Bird SBE 9 Data File:,,,,,,,,,,,,,,,,,,,,,,,,,,
FileName = C:\Users\CTD\ctddata\SAV-17-04\002.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature SN = 6060,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity SN = 1909,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Bytes Per Scan = 21,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Voltage Words = 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Scans Averaged by the Deck Unit = 1,,,,,,,,,,,,,,,,,,,,,,,,,,
System UpLoad Time = Mar 30 2017 21:29:55,,,,,,,,,,,,,,,,,,,,,,,,,,
SBE 11plus V 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
" Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m], lat0", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta,kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET LabsCDOM [mg/m^3]"," Fluorescence, WET LabsWETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2], flag
0.9821,19.6105,0,2.699,0.172552,1.72552,1.73E+03,999.0481,-0.9642,-0.9643,3.5352,7.9334,-3.27E-15,1.4262,0.4053,0,0,0.1624,0.0781,2.4835,6.64E+03,91.914,14.88843,0,0,-7.86E-14,0.00E+00
0.9722,19.5764,0,2.699,0.170763,1.707633,1.71E+03,999.0475,-0.9648,-0.9649,3.5353,7.9342,-5.46E-15,1.4262,0.3877,0.0007,0,0.1624,0.0769,2.4835,6.64E+03,91.913,14.89866,0,0,-5.24E-14,0.00E+00
0.9632,19.5324,0,2.73,0.169087,1.690866,1.69E+03,999.0497,-0.9628,-0.9629,3.5383,7.938,0.002,1.4262,0.3877,0.0014,0,0.1624,0.0769,2.4835,6.64E+03,91.913,14.91146,0,0,0.04,0.00E+00
0.9546,19.4898,0,2.74,0.16748,1.6748,1.67E+03,999.0518,-0.9607,-0.9608,3.5412,7.9418,0.004,1.4056,0.3877,0.0021,0,0.1612,0.0769,2.4835,6.64E+03,91.911,14.92391,0,0,0.06,0.00E+00
0.9533,19.4473,0,2.748,0.167118,1.671177,1.67E+03,999.0595,-0.9531,-0.9531,3.5497,7.9511,0.007,1.4056,0.3701,0.0028,0,0.1612,0.0757,2.4847,6.64E+03,91.972,14.93561,0,0,0.07,0.00E+00
1.0012,19.4074,0,2.761,0.174957,1.749567,1.75E+03,999.1042,-0.9084,-0.9085,3.5947,7.9966,0.01,1.4056,0.3877,0.0035,0,0.1612,0.0769,2.486,6.64E+03,92.037,14.9419,0,0,0.08,0.00E+00
1.3695,19.3756,0,2.77,0.235464,2.354645,2.35E+03,999.3915,-0.6211,-0.6212,3.8802,8.2802,0.014,1.4056,0.3877,0.0042,0,0.1612,0.0769,2.4872,6.64E+03,92.106,14.91526,0,0,0.09,0.00E+00
0,19.3588,0,2.791,-0.129586,-1.29586,-1.30E+03,998.3484,-1.6644,-1.6645,2.8464,7.2556,0.019,1.4262,0.3701,0.0049,0,0.1624,0.0757,2.488,4 6.6422e+03,92.179,15.05175,0,0,0.12,0.00E+00
0,19.343,0,2.801,-0.383804,-3.838043,-3.84E+03,998.3516,-1.6613,-1.6614,2.8499,7.2594,0.024,1.4262,0.3701,0.0056,0,0.1624,0.0757,2.49,8 6.6422e+03,92.318,15.05611,0,0,0.12,0.00E+00
1999,19.3184,0,2.812,99,990,9.90E+05,4075.5823,3075.5774,3075.5736,3077.0452,3078.0863,0.03,1.4262,0.3525,0.0063,0,0.1624,0.0745,2.493,3 6.6422e+03,92.464,0.00004,0,0,0.13,0.00E+00
