Sea-Bird SBE 9 Data File:,,,,,,,,,,,,,,,,,,,,,,,,,,
FileName = C:\Users\CTD\ctddata\SAV-17-06\0,01.hdr,,,,,,,,,,,,,,,,,,,,,,,,,
Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature SN = 6060,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity SN = 1909,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Bytes Per Scan = 30,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Voltage Words = 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Scans Averaged by the Deck Unit =,1,,,,,,,,,,,,,,,,,,,,,,,,,
System UpLoad Time = Apr 20 2017 16:48:06,,,,,,,,,,,,,,,,,,,,,,,,,,
SBE 11plus V 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m], lat0", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta,kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET LabsCDOM [mg/m^3]"," Fluorescence, WET LabsWETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2],flag
3.887,21.716,0,2.245,0.66176,6.617598,6.62E+03,1000.7921,0.7819,0.7818,5.2241,9.5665,-4.36E-15,2.4655,1.0207,0,0,0.1233,0.1209,2.7717,6.64E+03,105.455,14.07686,0,0,-1.05E-13,0.00E+00
3.8934,21.7003,0,2.242,0.662554,6.62554,6.63E+03,1000.8005,0.7904,0.7903,5.2328,9.5754,0,2.4655,1.0031,0.0007,0,0.1233,0.1197,2.7717,6.64E+03,105.455,14.08016,0,0,0,0.00E+00
3.8831,21.684,0,2.234,0.660688,6.606883,6.61E+03,1000.7964,0.7863,0.7862,5.2291,9.5721,-0.001,2.4655,1.0207,0.0014,0,0.1233,0.1209,2.7717,6.64E+03,105.454,14.08506,0,0,-0.02,0.00E+00
3.845,21.6691,0,2.224,0.654427,6.544269,6.54E+03,1000.7711,0.761,0.7609,5.2043,9.5478,-0.002,2.399,1.0031,0.0021,0,0.1221,0.1197,2.7729,6.64E+03,105.514,14.09212,0,0,-0.03,0.00E+00
3.7983,21.6667,0,2.213,0.646955,6.46955,6.47E+03,1000.7362,0.7262,0.7262,5.1698,9.5137,-0.004,2.399,1.0207,0.0028,0,0.1221,0.1209,2.7729,6.64E+03,105.518,14.09687,0,0,-0.04,0.00E+00
3.7403,21.6638,0,2.203,0.637673,6.376734,6.38E+03,1000.6931,0.6831,0.683,5.1271,9.4714,-0.006,2.399,1.0207,0.0035,0,0.1221,0.1209,2.7729,6.64E+03,105.521,14.10277,0,0,-0.06,0.00E+00
3.6661,21.6575,0,2.203,0.625739,6.257387,6.26E+03,1000.6384,0.6284,0.6283,5.073,9.4179,-0.008,2.3326,1.0207,0.0042,0,0.1209,0.1209,2.7729,6.64E+03,105.524,14.11093,0,0,-0.05,0.00E+00
3.5946,21.6504,0,2.179,0.614216,6.142162,6.14E+03,1000.5859,0.576,0.5759,5.0212,9.3666,-0.012,2.399,1.0031,0.0049,0,0.1221,0.1197,2.7741,6.64E+03,105.588,14.11909,0,0,-0.08,0.00E+00
3.4858,21.6442,0,2.172,0.596717,5.967172,5.97E+03,1000.505,0.4952,0.4951,4.9412,9.2874,-0.016,2.3326,1.0031,0.0056,0,0.1209,0.1197,2.7729,6.64E+03,105.534,14.13033,0,0,-0.09,0.00E+00
3.3265,21.6446,0,2.162,0.571151,5.711506,5.71E+03,1000.3845,0.3747,0.3746,4.8218,9.1689,-0.02,2.3326,1.0382,0.0063,0,0.1209,0.1221,2.7729,6.64E+03,105.536,14.14447,0,0,-0.1,0.00E+00
3.1014,21.6419,0,2.151,0.534818,5.348184,5.35E+03,1000.2148,0.2051,0.205,4.6537,9.0023,-0.024,2.3326,1.0207,0.0069,0,0.1209,0.1209,2.7741,6.64E+03,105.6,14.16528,0,0,-0.11,0.00E+00
2.5323,21.6375,0,2.141,0.442062,4.420625,4.42E+03,999.7853,-0.2244,-0.2245,4.228,8.5803,-0.029,2.3326,1.0207,0.0076,0,0.1209,0.1209,2.7741,6.64E+03,105.606,14.21747,0,0,-0.12,0.00E+00
2.0716,21.633,0,2.138,0.365852,3.658522,3.66E+03,999.4375,-0.5722,-0.5723,3.8832,8.2385,-0.034,2.3326,1.0207,0.0083,0,0.1209,0.1209,2.7741,6.64E+03,105.612,14.26008,0,0,-0.12,0.00E+00
1.9594,21.6277,0,2.12,0.347084,3.47084,3.47E+03,999.3536,-0.656,-0.6561,3.8003,8.1563,-0.04,2.399,1.0382,0.009,0,0.1221,0.1221,2.7741,6.64E+03,105.617,14.27153,0,0,-0.14,0.00E+00
1.9168,21.6272,0,2.11,0.339963,3.399627,3.40E+03,999.3214,-0.6881,-0.6882,3.7684,8.1248,-0.046,2.399,1.0207,0.0097,0,0.1221,0.1209,2.7741,6.64E+03,105.622,14.27552,0,0,-0.14,0.00E+00
1.8004,21.6326,0,2.11,0.320465,3.204648,3.20E+03,999.232,-0.7776,-0.7777,3.6797,8.0366,-0.052,2.399,1.0207,0.0104,0,0.1221,0.1209,2.7741,6.64E+03,105.627,14.28466,0,0,-0.14,0.00E+00
1.671,21.6364,0,2.09,0.298675,2.98675,2.99E+03,999.133,-0.8765,-0.8766,3.5815,7.9393,-0.058,2.399,1.0382,0.0111,0,0.1221,0.1221,2.7741,6.64E+03,105.632,14.2954,0,0,-0.16,0.00E+00
1.5841,21.6333,0,2.078,0.283944,2.839436,2.84E+03,999.0678,-0.9416,-0.9417,3.517,7.8753,-0.065,2.399,1.0207,0.0118,0,0.1221,0.1209,2.7741,6.64E+03,105.636,14.30403,0,0,-0.16,0.00E+00
1.5093,21.6317,0,2.066,0.271215,2.712151,2.71E+03,999.0113,-0.998,-0.9981,3.4611,7.82,-0.072,2.399,1.0207,0.0125,0,0.1221,0.1209,2.7741,6.64E+03,105.64,14.31121,0,0,-0.17,0.00E+00
1.469,21.6328,0,2.069,0.264354,2.643545,2.64E+03,998.9806,-1.0288,-1.0289,3.4306,7.7896,-0.079,2.399,1.0031,0.0132,0,0.1221,0.1197,2.7753,6.64E+03,105.704,14.31459,0,0,-0.16,0.00E+00
