Sea-Bird SBE 9 Data File:,,,,,,,,,,,,,,,,,,,,,,,,,
FileName = C:\Users\CTD\Desktop\ctddata\SAV-17-11\cast002.hdr,,,,,,,,,,,,,,,,,,,,,,,,,
Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature SN = 6012,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity SN = 1909,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Bytes Per Scan = 27,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Voltage Words = 3,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Scans Averaged by the Deck Unit = 1,,,,,,,,,,,,,,,,,,,,,,,,,
System UpLoad Time = Jun 17 2017 20:36:59,,,,,,,,,,,,,,,,,,,,,,,,,
SBE 11plus V 5.2,,,,,,,,,,,,,,,,,,,,,,,,,
" Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m], lat0", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta,kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET LabsCDOM [mg/m^3]"," Fluorescence, WET LabsWETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2], Flag
36.8756,26.6922,0,2.264,5.744608,57.446084,5.74E+04,1024.2397,24.2301,24.23,28.3984,32.4759,0,0.6721,0.458,0,0,0.0904,0.0818,1.735,57.129,10.58646,0,0,0,0.00E+00
36.8757,26.6916,0,2.264,5.744543,57.445433,5.74E+04,1024.24,24.2304,24.2302,28.3986,32.4762,1.09E-15,0.6056,0.458,0.0007,0,0.0891,0.0818,1.7375,57.25,10.58656,0,0,2.62E-14,0.00E+00
36.8763,26.6909,0,2.276,5.744561,57.445607,5.74E+04,1024.2407,24.2311,24.2309,28.3993,32.4769,0.001,0.6721,0.458,0.0014,0,0.0904,0.0818,1.7399,57.377,10.58662,0,0,0.02,0.00E+00
36.8756,26.6906,0,2.273,5.744439,57.444392,5.74E+04,1024.2403,24.2307,24.2305,28.3989,32.4765,0.001,0.6721,0.4404,0.0021,0,0.0904,0.0806,1.7399,57.389,10.58671,0,0,0.01,0.00E+00
36.8762,26.6901,0,2.285,5.744465,57.444653,5.74E+04,1024.2409,24.2313,24.2311,28.3995,32.4771,0.002,0.6721,0.4404,0.0028,0,0.0904,0.0806,1.7424,57.521,10.58675,0,0,0.03,0.00E+00
36.8758,26.6899,0,2.297,5.744387,57.443872,5.74E+04,1024.2407,24.231,24.2308,28.3993,32.4769,0.004,0.6721,0.4404,0.0035,0,0.0904,0.0806,1.7448,57.659,10.5868,0,0,0.04,0.00E+00
36.8765,26.6893,0,2.285,5.744418,57.444176,5.74E+04,1024.2414,24.2317,24.2316,28.4,32.4776,0.005,0.6721,0.458,0.0042,0,0.0904,0.0818,1.746,57.742,10.58685,0,0,0.03,0.00E+00
36.8772,26.6885,0,2.297,5.744413,57.444133,5.74E+04,1024.2422,24.2325,24.2323,28.4008,32.4784,0.007,0.6056,0.4404,0.0049,0,0.0891,0.0806,1.7473,57.826,10.58695,0,0,0.04,0.00E+00
36.8777,26.6877,0,2.306,5.744396,57.443959,5.74E+04,1024.2429,24.2331,24.233,28.4014,32.479,0.009,0.6721,0.458,0.0056,0,0.0904,0.0818,1.7485,57.913,10.58704,0,0,0.05,0.00E+00
36.8777,26.6867,0,2.306,5.744296,57.442962,5.74E+04,1024.2433,24.2335,24.2333,28.4018,32.4794,0.011,0.6721,0.4404,0.0063,0,0.0904,0.0806,1.7497,58.001,10.58719,0,0,0.05,0.00E+00
36.8788,26.686,0,2.313,5.74437,57.443699,5.74E+04,1024.2443,24.2345,24.2343,28.4028,32.4804,0.013,0.6721,0.4404,0.0069,0,0.0904,0.0806,1.7509,58.091,10.58722,0,0,0.06,0.00E+00
36.8793,26.685,0,2.316,5.744331,57.443309,5.74E+04,1024.2451,24.2352,24.2351,28.4035,32.4812,0.016,0.6721,0.4229,0.0076,0,0.0904,0.0794,1.7521,58.182,10.58735,0,0,0.06,0.00E+00
36.8793,26.6845,0,2.316,5.744275,57.442745,5.74E+04,1024.2452,24.2354,24.2352,28.4037,32.4813,0.018,0.6721,0.4404,0.0083,0,0.0904,0.0806,1.7534,58.275,10.58742,0,0,0.06,0.00E+00
36.8805,26.683,0,2.327,5.74427,57.442702,5.74E+04,1024.2466,24.2367,24.2366,28.405,32.4827,0.021,0.6056,0.458,0.009,0,0.0891,0.0818,1.7546,58.369,10.58758,0,0,0.07,0.00E+00
36.8816,26.6816,0,2.327,5.744266,57.442659,5.74E+04,1024.2479,24.238,24.2378,28.4063,32.484,0.024,0.6721,0.4404,0.0097,0,0.0904,0.0806,1.7558,58.464,10.58773,0,0,0.06,0.00E+00
36.8829,26.6797,0,2.327,5.744231,57.442312,5.74E+04,1024.2495,24.2396,24.2394,28.4079,32.4856,0.026,0.6721,0.4404,0.0104,0,0.0904,0.0806,1.757,58.559,10.58795,0,0,0.06,0.00E+00
36.885,26.6768,0,2.337,5.744197,57.441966,5.74E+04,1024.252,24.2421,24.2419,28.4105,32.4882,0.029,0.6721,0.4404,0.0111,0,0.0904,0.0806,1.7582,58.656,10.58827,0,0,0.07,0.00E+00
36.8874,26.6729,0,2.337,5.744114,57.441143,5.74E+04,1024.2551,24.2452,24.245,28.4136,32.4913,0.032,0.6721,0.4404,0.0118,0,0.0904,0.0806,1.7595,58.753,10.58871,0,0,0.07,0.00E+00
36.8906,26.6693,0,2.313,5.744158,57.441577,5.74E+04,1024.2586,24.2488,24.2486,28.4172,32.495,0.033,0.6721,0.4404,0.0125,0,0.0904,0.0806,1.7607,58.851,10.58907,0,0,0.03,0.00E+00
36.8943,26.6649,0,2.358,5.744188,57.441882,5.74E+04,1024.263,24.253,24.2528,28.4214,32.4992,0.037,0.6721,0.458,0.0132,0,0.0904,0.0818,1.7607,58.889,10.58951,0,0,0.09,0.00E+00
36.8969,26.661,0,2.347,5.744114,57.441145,5.74E+04,1024.2661,24.2562,24.256,28.4246,32.5025,0.04,0.6721,0.458,0.0139,0,0.0904,0.0818,1.7631,59.045,10.58996,0,0,0.07,0.00E+00
36.9004,26.6567,0,2.337,5.744123,57.441232,5.74E+04,1024.2701,24.2602,24.26,28.4287,32.5066,0.042,0.6721,0.458,0.0146,0,0.0904,0.0818,1.7631,59.083,10.5904,0,0,0.05,0.00E+00
36.9033,26.6524,0,2.347,5.744045,57.440452,5.74E+04,1024.2737,24.2637,24.2636,28.4323,32.5102,0.044,0.6721,0.4404,0.0153,0,0.0904,0.0806,1.7631,59.118,10.59089,0,0,0.06,0.00E+00
