country,site,location,lat,lon
Palau,1,N,7.33967,134.42958
Palau,2,D,7.31716,134.5753
Palau,3,G,7.57015,134.63663
Palau,4,F,7.4636,134.63667
Palau,5,E,7.30995,134.22899
Palau,6,H,7.27801,134.24507
Palau,7,B,7.77253,134.57701
Palau,8,A,7.76951,134.5675
Palau,9,O,7.64626,134.54753
Palau,10,C,7.25032,134.4509
Palau,11,V,7.24448,134.41609
Palau,12,X,7.2553,134.31442
Palau,13,W,7.18776,134.26671
Palau,14,S,7.31724,134.2937
Palau,15,I,7.27646,134.30106
Palau,16,K,7.32626,134.53004
Palau,17,L,7.32718,134.46776
Palau,18,Q,7.48521,134.41768
Palau,19,U,7.47857,134.42516
Palau,20,J,7.45037,134.46147
Palau,21,P,7.35521,134.34811
Palau,22,T,7.37262,134.38791
Palau,23,R,7.354483,134.40385
Palau,24,M,7.3431,134.430583
