# Site list
# PI: Robert van Woesik
# data version 1: 2018-07-06
country,site,study_site,lat,lon
Palau,1,N,7.33967,134.42958
Palau,2,D,7.31716,134.57530
Palau,3,G,7.57015,134.63663
Palau,4,F,7.46360,134.63667
Palau,5,E,7.30995,134.22899
Palau,6,H,7.27801,134.24507
Palau,7,B,7.77253,134.57701
Palau,8,A,7.76951,134.56750
Palau,9,O,7.64626,134.54753
Palau,10,C,7.25032,134.45090
Palau,11,V,7.24448,134.41609
Palau,12,X,7.25530,134.31442
Palau,13,W,7.18776,134.26671
Palau,14,S,7.31724,134.29370
Palau,15,I,7.27646,134.30106
Palau,16,K,7.32626,134.53004
Palau,17,L,7.32718,134.46776
Palau,18,Q,7.48521,134.41768
Palau,19,U,7.47857,134.42516
Palau,20,J,7.45037,134.46147
Palau,21,P,7.35521,134.34811
Palau,22,T,7.37262,134.38791
Palau,23,R,7.35448,134.40385
Palau,24,M,7.34310,134.43058
Yap,,A,9.48212,138.12352
Yap,,B,9.55664,138.08575
Yap,,C,9.42401,138.04464
Yap,,D,9.44609,138.03881
Yap,,E,9.60305,138.12159
Yap,,F,9.58695,138.20087
Yap,,G,9.59147,138.19844
Yap,,H,9.45412,138.09045
Yap,,I,9.61911,138.13236
Yap,,J,9.58080,138.20442
Yap,,K,9.47799,138.11228
Yap,,L,9.65683,138.16036
Yap,,M,9.55551,138.20877
Yap,,N,9.52009,138.12888
Yap,,O,9.46646,138.08824
Yap,,P,9.57899,138.18544
Yap,,Q,9.60831,138.13168
Yap,,R,9.42778,138.04765
Yap,,S,9.60716,138.15953
Yap,,T,9.61829,138.13288
Yap,,U,9.55454,138.09044
Yap,,V,9.59957,138.12851
Yap,,W,9.59594,138.12846
Yap,,X,9.58805,138.18148
