site n,site,transect,species,diameter cm
14,S,1,NA,
14,S,2,NA,
14,S,3,NA,
14,S,4,NA,
14,S,5,NA,
14,S,6,NA,
15,I,1,NA,
15,I,2,NA,
15,I,3,NA,
15,I,4,NA,
15,I,5,NA,1
15,I,6,Echinometra,1
16,K,1,NA,
16,K,2,NA,
16,K,3,NA,
16,K,4,NA,
16,K,5,NA,
16,K,6,NA,
17,L,1,NA,
17,L,2,Echinometra,2
17,L,3,NA,
17,L,4,NA,
17,L,5,NA,
17,L,6,Echinometra,2
17,L,6,Echinometra,2.5
17,L,6,Echinometra,2
1,N,1,NA,
1,N,2,NA,
1,N,3,NA,
1,N,4,NA,
1,N,5,NA,
1,N,6,NA,
2,D,1,NA,
2,D,2,NA,
2,D,3,other,1
2,D,3,other,1
2,D,3,other,2
2,D,3,other,1
2,D,3,other,1.5
2,D,3,other,1
2,D,4,other,1
2,D,4,other,1
2,D,4,other,2
2,D,4,other,1
2,D,4,other,2
2,D,4,other,1
2,D,5,NA,
2,D,6,other,2.5
2,D,6,other,1.5
2,D,6,other,1.5
2,D,6,other,1.5
2,D,6,other,2
2,D,6,other,1
2,D,6,other,1
2,D,6,other,1
2,D,6,other,1.5
3,G,1,NA,
3,G,2,NA,
3,G,3,NA,
3,G,4,NA,
3,G,5,other,1.5
3,G,6,NA,
4,F,1,Echinometra,1
4,F,1,other,1
4,F,1,other,1
4,F,1,Echinometra,1
4,F,1,other,1
4,F,1,other,1.5
4,F,1,other,2
4,F,1,other,1.5
4,F,1,Echinometra,4
4,F,1,other,1
4,F,1,other,1.5
4,F,2,other,1
4,F,2,other,1
4,F,2,Echinometra,1.5
4,F,2,Echinometra,2
4,F,2,other,1.5
4,F,2,Echinometra,4
4,F,2,Echinometra,3
4,F,2,other,1.5
4,F,2,other,1.5
4,F,2,other,1
4,F,2,other,1
4,F,2,other,1
4,F,2,other,2
4,F,3,other,1.5
4,F,3,other,1
4,F,3,Echinometra,2
4,F,3,other,1
4,F,3,other,1
4,F,3,other,1
4,F,3,other,1
4,F,3,other,1.5
4,F,3,other,0.5
4,F,3,other,1
4,F,3,other,1
4,F,4,other,1.5
4,F,4,other,1
4,F,4,other,1.5
4,F,4,other,1
4,F,4,other,0.5
4,F,4,other,0.5
4,F,4,Echinometra,3
4,F,4,other,0.5
4,F,5,other,1
4,F,5,other,1
4,F,5,other,1
4,F,5,other,1
4,F,5,Echinometra,1
4,F,5,other,1
4,F,5,other,1
4,F,6,other,0.5
4,F,6,other,1
4,F,6,other,1
4,F,6,Echinometra,1.5
4,F,6,other,1
4,F,6,other,1
4,F,6,other,0.5
4,F,6,other,2
4,F,6,other,1.5
4,F,6,other,1.5
