site n,site,transect,species,diameter cm
4,K,1,NA,
4,K,2,NA,
4,K,3,NA,
4,K,4,NA,
4,K,5,NA,
4,K,6,NA,
1,X,1,NA,
1,X,2,NA,
1,X,3,NA,
1,X,4,NA,
1,X,5,NA,
1,X,6,NA,
2,P,1,NA,
2,P,2,NA,
2,P,3,NA,
2,P,4,NA,
2,P,5,NA,
2,P,6,NA,
14,G,1,Echinometra,1.5
14,G,1,Echinometra,2
14,G,2,other,1.5
14,G,3,other,2
14,G,3,other,2
14,G,4,Echinometra,0.5
14,G,5,other,1
14,G,6,Echinometra,1
15,F,1,other,1.5
15,F,2,other,2
15,F,2,other,2
15,F,3,other,1
15,F,4,other,2
15,F,4,Echinometra,3
15,F,4,other,2
15,F,5,Echinometra,1.5
15,F,5,other,1.5
15,F,5,other,1
15,F,5,other,1.5
15,F,5,Echinometra,2.5
15,F,5,other,1
15,F,5,Echinometra,2
15,F,6,other,1.5
12,D,1,NA,
12,D,2,NA,
12,D,3,NA,
12,D,4,other,1
12,D,5,other,0.5
12,D,6,NA,
13,O,1,NA,
13,O,2,NA,
13,O,3,NA,
13,O,4,NA,
13,O,5,NA,
13,O,6,NA,
10,J,1,NA,
10,J,2,NA,
10,J,3,NA,
10,J,4,NA,
10,J,5,NA,
10,J,6,NA,
11,M,1,NA,
11,M,2,NA,
11,M,3,NA,
11,M,4,NA,
11,M,5,NA,
11,M,6,NA,
8,L,1,NA,
8,L,2,NA,
8,L,3,NA,
8,L,4,NA,
8,L,5,NA,
8,L,6,NA,
9,S,1,NA,
9,S,2,NA,
9,S,3,NA,
9,S,4,NA,
9,S,5,NA,
9,S,6,NA,
6,R,1,NA,
6,R,2,NA,
6,R,3,NA,
6,R,4,NA,
6,R,5,NA,
6,R,6,NA,
7,C,1,other,2
7,C,1,other,3
7,C,2,other,1
7,C,3,other,3
7,C,3,other,2
7,C,3,other,1
7,C,3,other,1.5
7,C,3,other,3
7,C,4,NA,
7,C,5,other,2
7,C,5,other,3
7,C,5,other,2
7,C,6,other,2
7,C,6,other,2.5
5,A,1,other,2
5,A,1,other,2
5,A,1,other,3
5,A,2,other,1
5,A,2,other,0.5
5,A,2,other,3
5,A,2,other,3
5,A,2,other,2
5,A,2,other,3
5,A,2,other,2
5,A,2,other,1
5,A,2,other,3
5,A,3,other,2
5,A,3,Echinometra,2
5,A,3,other,2
5,A,3,other,3
5,A,3,other,3
5,A,3,Echinometra,1
5,A,3,Echinometra,3
5,A,3,Echinometra,3.5
5,A,3,Echinometra,3
5,A,3,other,0.5
5,A,3,other,2
5,A,3,other,1
5,A,3,other,3
5,A,3,other,2
5,A,3,other,3
5,A,3,other,1.5
5,A,3,other,1
5,A,4,other,1
5,A,4,other,2
5,A,4,other,1.5
5,A,4,Echinometra,2
5,A,4,Echinometra,1
5,A,4,other,2
