# Coral Surveys
# PI: Robert van Woesik
# data version 1: 2018-08-23
Country,Site,Transect,Species,cm,rugosity,Diff
Palau,I,1,Porites rus,5,6.2,5
Palau,I,1,Carbonate,22,,17
Palau,I,1,Favites halicora,25,,3
Palau,I,1,Carbonate,31,,6
Palau,I,1,Porites cylindrica,62,,31
Palau,I,1,Coelastrea aspera,65,,3
Palau,I,1,Porites rus,86,,21
Palau,I,1,Lobophyllia hemprichii,92,,6
Palau,I,1,Porites cylindrica,101,,9
Palau,I,1,Carbonate,165,,64
Palau,I,1,Acropora microphthalma,197,,32
Palau,I,1,Carbonate,201,,4
Palau,I,1,Porites australiensis,247,,46
Palau,I,1,Carbonate,278,,31
Palau,I,1,sand,297,,19
Palau,I,1,Carbonate,334,,37
Palau,I,1,Porites rus,340,,6
Palau,I,1,Porites australiensis,347,,7
Palau,I,1,Dipsastraea pallida,360,,13
Palau,I,1,Porites australiensis,365,,5
Palau,I,1,SR,425,,60
Palau,I,1,Carbonate,461,,36
Palau,I,1,Acropora microphthalma,542,,81
Palau,I,1,Carbonate,550,,8
Palau,I,1,Porites australiensis,565,,15
Palau,I,1,R,665,,100
Palau,I,1,Porites australiensis,695,,30
Palau,I,1,Porites australiensis,732,,37
Palau,I,1,Carbonate,802,,70
Palau,I,1,Porites australiensis,805,,3
Palau,I,1,S,910,,105
Palau,I,1,Carbonate,920,,10
Palau,I,1,Porites australiensis,952,,32
Palau,I,1,Carbonate,981,,29
Palau,I,1,Porites rus,1000,,19
Palau,I,2,Acropora microphthalma,19,7.3,19
Palau,I,2,Carbonate,41,,22
Palau,I,2,Porites australiensis,92,,51
Palau,I,2,Carbonate,102,,10
Palau,I,2,Porites australiensis,202,,100
Palau,I,2,Carbonate,225,,23
Palau,I,2,Ctenactis echinata,231,,6
Palau,I,2,Carbonate,253,,22
Palau,I,2,Porites rus,275,,22
Palau,I,2,Carbonate,310,,35
Palau,I,2,Porites lobata,316,,6
Palau,I,2,Carbonate,362,,46
Palau,I,2,Porites lobata,404,,42
Palau,I,2,Carbonate,443,,39
Palau,I,2,Porites rus,521,,78
Palau,I,2,Carbonate,541,,20
Palau,I,2,Porites rus,557,,16
Palau,I,2,S,571,,14
Palau,I,2,Porites rus,602,,31
Palau,I,2,S,802,,200
Palau,I,2,Carbonate,923,,121
Palau,I,2,Porites rus,942,,19
Palau,I,2,Carbonate,946,,4
Palau,I,2,Coscinaraea columna,972,,26
Palau,I,2,Carbonate,1000,,28
Palau,I,3,Carbonate,31,7.2,31
