Data Point	"Date Time, GMT-05:00"	"Florida, Temp, °C "	"South Carolina Temp, °C"	"North Carolina, Temp, °C"	"Massachusetts, Temp, °C"	"Maine, Temp, °C"
1	3/11/2016 17:00	37.384	24.738	29.652	15.76	2.624
2	3/11/2016 17:20	36.079	23.581	29.053	15.569	2.41
3	3/11/2016 17:40	34.479	22.717	28.06	14.996	2.303
4	3/11/2016 18:00	32.807	20.424	27.075	14.804	2.088
5	3/11/2016 18:20	31.472	17.57	26	14.325	1.98
6	3/11/2016 18:40	30.356	15.091	25.125	13.942	1.656
7	3/11/2016 19:00	29.252	12.11	24.255	13.558	1.548
8	3/11/2016 19:20	28.357	11.041	23.292	13.173	1.33
9	3/11/2016 19:40	27.468	10.651	22.621	12.787	1.112
10	3/11/2016 20:00	27.272	9.866	22.046	12.401	1.003
11	3/11/2016 20:20	27.961	9.965	21.569	12.11	0.893
12	3/11/2016 20:40	28.853	9.768	21.091	11.819	0.674
13	3/11/2016 21:00	28.159	9.373	20.805	11.528	0.563
14	3/11/2016 21:20	27.075	9.373	20.519	11.139	0.453
15	3/11/2016 21:40	26	10.259	20.234	10.748	0.343
16	3/11/2016 22:00	24.931	10.651	19.948	10.455	0.232
17	3/11/2016 22:20	24.062	10.748	19.662	10.161	0.121
18	3/11/2016 22:40	23.388	10.553	19.472	9.866	0.121
19	3/11/2016 23:00	22.812	10.259	19.187	7.882	0.01
20	3/11/2016 23:20	22.142	10.553	19.187	5.347	-0.102
21	3/11/2016 23:40	21.664	10.553	20.519	5.244	-0.102
22	3/12/2016 0:00	21.282	10.455	19.662	5.347	-0.102
23	3/12/2016 0:20	20.805	10.161	19.377	5.655	-0.213
24	3/12/2016 0:40	20.519	9.768	19.567	5.86	-0.213
25	3/12/2016 1:00	20.138	9.866	19.758	6.064	-0.213
26	3/12/2016 1:20	19.758	9.768	19.377	6.064	-0.213
27	3/12/2016 1:40	19.472	9.768	18.616	6.166	-0.213
28	3/12/2016 2:00	19.187	9.768	18.711	6.166	-0.325
29	3/12/2016 2:20	18.806	9.571	18.426	6.166	-0.325
30	3/12/2016 2:40	18.521	9.571	18.236	6.064	-0.325
31	3/12/2016 3:00	18.236	9.373	18.14	5.86	-0.325
32	3/12/2016 3:20	18.045	9.275	17.95	5.655	-0.437
33	3/12/2016 3:40	17.855	9.077	17.855	5.86	-0.437
34	3/12/2016 4:00	17.665	8.779	17.665	5.962	-0.325
35	3/12/2016 4:20	17.475	8.382	17.475	5.86	-0.325
36	3/12/2016 4:40	17.284	8.082	17.284	5.962	-0.437
37	3/12/2016 5:00	17.094	8.182	17.189	5.86	-0.437
38	3/12/2016 5:20	16.999	7.782	16.999	5.86	-0.437
39	3/12/2016 5:40	16.903	7.882	16.808	5.757	-0.437
