Data_Point,Date_Time,Temp_Florida,Temp_South_Carolina,Temp_North_Carolina,Temp_Massachusetts,Temp_Maine,ISO_DateTime_UTC
1,3/11/2016 17:00,37.384,24.738,29.652,15.76,2.624,2016-03-11T22:00Z
2,3/11/2016 17:20,36.079,23.581,29.053,15.569,2.41,2016-03-11T22:20Z
3,3/11/2016 17:40,34.479,22.717,28.06,14.996,2.303,2016-03-11T22:40Z
4,3/11/2016 18:00,32.807,20.424,27.075,14.804,2.088,2016-03-11T23:00Z
5,3/11/2016 18:20,31.472,17.57,26,14.325,1.98,2016-03-11T23:20Z
6,3/11/2016 18:40,30.356,15.091,25.125,13.942,1.656,2016-03-11T23:40Z
7,3/11/2016 19:00,29.252,12.11,24.255,13.558,1.548,2016-03-12T00:00Z
8,3/11/2016 19:20,28.357,11.041,23.292,13.173,1.33,2016-03-12T00:20Z
9,3/11/2016 19:40,27.468,10.651,22.621,12.787,1.112,2016-03-12T00:40Z
10,3/11/2016 20:00,27.272,9.866,22.046,12.401,1.003,2016-03-12T01:00Z
11,3/11/2016 20:20,27.961,9.965,21.569,12.11,0.893,2016-03-12T01:20Z
12,3/11/2016 20:40,28.853,9.768,21.091,11.819,0.674,2016-03-12T01:40Z
13,3/11/2016 21:00,28.159,9.373,20.805,11.528,0.563,2016-03-12T02:00Z
14,3/11/2016 21:20,27.075,9.373,20.519,11.139,0.453,2016-03-12T02:20Z
15,3/11/2016 21:40,26,10.259,20.234,10.748,0.343,2016-03-12T02:40Z
16,3/11/2016 22:00,24.931,10.651,19.948,10.455,0.232,2016-03-12T03:00Z
17,3/11/2016 22:20,24.062,10.748,19.662,10.161,0.121,2016-03-12T03:20Z
18,3/11/2016 22:40,23.388,10.553,19.472,9.866,0.121,2016-03-12T03:40Z
19,3/11/2016 23:00,22.812,10.259,19.187,7.882,0.01,2016-03-12T04:00Z
20,3/11/2016 23:20,22.142,10.553,19.187,5.347,-0.102,2016-03-12T04:20Z
21,3/11/2016 23:40,21.664,10.553,20.519,5.244,-0.102,2016-03-12T04:40Z
22,3/12/2016 0:00,21.282,10.455,19.662,5.347,-0.102,2016-03-12T05:00Z
23,3/12/2016 0:20,20.805,10.161,19.377,5.655,-0.213,2016-03-12T05:20Z
24,3/12/2016 0:40,20.519,9.768,19.567,5.86,-0.213,2016-03-12T05:40Z
25,3/12/2016 1:00,20.138,9.866,19.758,6.064,-0.213,2016-03-12T06:00Z
26,3/12/2016 1:20,19.758,9.768,19.377,6.064,-0.213,2016-03-12T06:20Z
27,3/12/2016 1:40,19.472,9.768,18.616,6.166,-0.213,2016-03-12T06:40Z
28,3/12/2016 2:00,19.187,9.768,18.711,6.166,-0.325,2016-03-12T07:00Z
29,3/12/2016 2:20,18.806,9.571,18.426,6.166,-0.325,2016-03-12T07:20Z
30,3/12/2016 2:40,18.521,9.571,18.236,6.064,-0.325,2016-03-12T07:40Z
31,3/12/2016 3:00,18.236,9.373,18.14,5.86,-0.325,2016-03-12T08:00Z
32,3/12/2016 3:20,18.045,9.275,17.95,5.655,-0.437,2016-03-12T08:20Z
33,3/12/2016 3:40,17.855,9.077,17.855,5.86,-0.437,2016-03-12T08:40Z
34,3/12/2016 4:00,17.665,8.779,17.665,5.962,-0.325,2016-03-12T09:00Z
35,3/12/2016 4:20,17.475,8.382,17.475,5.86,-0.325,2016-03-12T09:20Z
36,3/12/2016 4:40,17.284,8.082,17.284,5.962,-0.437,2016-03-12T09:40Z
37,3/12/2016 5:00,17.094,8.182,17.189,5.86,-0.437,2016-03-12T10:00Z
38,3/12/2016 5:20,16.999,7.782,16.999,5.86,-0.437,2016-03-12T10:20Z
39,3/12/2016 5:40,16.903,7.882,16.808,5.757,-0.437,2016-03-12T10:40Z
40,3/12/2016 6:00,16.713,7.983,16.713,5.655,-0.437,2016-03-12T11:00Z
41,3/12/2016 6:20,16.618,7.682,16.523,5.552,-0.437,2016-03-12T11:20Z
42,3/12/2016 6:40,16.523,7.381,16.332,5.347,-0.549,2016-03-12T11:40Z
43,3/12/2016 7:00,16.523,7.179,16.237,5.244,-0.437,2016-03-12T12:00Z
44,3/12/2016 7:20,16.523,6.877,16.046,5.244,-0.325,2016-03-12T12:20Z
45,3/12/2016 7:40,16.713,5.86,15.951,5.244,-0.213,2016-03-12T12:40Z
46,3/12/2016 8:00,17.189,5.86,15.951,5.655,-0.102,2016-03-12T13:00Z
47,3/12/2016 8:20,17.95,5.86,16.046,6.166,0.121,2016-03-12T13:20Z
48,3/12/2016 8:40,18.711,4.727,16.332,6.674,0.453,2016-03-12T13:40Z
49,3/12/2016 9:00,20.234,5.037,16.523,6.978,1.003,2016-03-12T14:00Z
50,3/12/2016 9:20,22.238,5.244,16.999,7.782,1.439,2016-03-12T14:20Z
51,3/12/2016 9:40,24.158,5.45,17.57,8.382,1.764,2016-03-12T14:40Z
52,3/12/2016 10:00,26.097,4.934,18.521,8.879,2.088,2016-03-12T15:00Z
53,3/12/2016 10:20,27.764,4.831,19.377,9.866,2.303,2016-03-12T15:20Z
54,3/12/2016 10:40,29.053,3.893,20.329,10.259,2.41,2016-03-12T15:40Z
55,3/12/2016 11:00,30.255,3.998,21.378,11.528,2.517,2016-03-12T16:00Z
56,3/12/2016 11:20,31.268,4.207,22.525,12.207,2.624,2016-03-12T16:20Z
57,3/12/2016 11:40,31.88,3.578,23.773,13.365,2.73,2016-03-12T16:40Z
58,3/12/2016 12:00,31.88,3.893,25.416,14.996,3.049,2016-03-12T17:00Z
59,3/12/2016 12:20,33.639,5.141,23.581,15.473,3.578,2016-03-12T17:20Z
60,3/12/2016 12:40,33.535,5.86,23.966,16.618,4.519,2016-03-12T17:40Z
61,3/12/2016 13:00,33.535,6.37,24.545,17.76,4.934,2016-03-12T18:00Z
62,3/12/2016 13:20,33.535,6.978,26.781,18.236,5.141,2016-03-12T18:20Z
63,3/12/2016 13:40,33.953,7.782,28.258,18.711,4.415,2016-03-12T18:40Z
64,3/12/2016 14:00,34.691,8.282,29.752,19.282,4.519,2016-03-12T19:00Z
65,3/12/2016 14:20,35.649,8.082,30.659,19.377,4.415,2016-03-12T19:20Z
66,3/12/2016 14:40,36.511,7.481,31.064,19.472,4.623,2016-03-12T19:40Z
67,3/12/2016 15:00,36.62,7.582,31.676,19.187,5.347,2016-03-12T20:00Z
68,3/12/2016 15:20,36.511,8.481,31.88,18.996,5.347,2016-03-12T20:20Z
69,3/12/2016 15:40,36.295,9.176,31.983,18.236,5.037,2016-03-12T20:40Z
70,3/12/2016 16:00,34.796,8.978,31.983,17.855,4.831,2016-03-12T21:00Z
71,3/12/2016 16:20,33.118,9.275,31.88,17.475,4.727,2016-03-12T21:20Z
72,3/12/2016 16:40,32.6,9.669,31.574,16.903,4.311,2016-03-12T21:40Z
73,3/12/2016 17:00,32.188,9.077,30.862,16.332,4.102,2016-03-12T22:00Z
74,3/12/2016 17:20,31.166,8.68,30.255,15.664,3.788,2016-03-12T22:20Z
75,3/12/2016 17:40,29.853,8.182,29.853,14.804,3.578,2016-03-12T22:40Z
76,3/12/2016 18:00,28.754,7.682,29.252,13.846,3.367,2016-03-12T23:00Z
77,3/12/2016 18:20,27.665,7.481,28.456,13.076,3.261,2016-03-12T23:20Z
78,3/12/2016 18:40,26.683,7.179,27.468,12.304,3.049,2016-03-12T23:40Z
79,3/12/2016 19:00,25.902,6.775,26.488,11.625,3.049,2016-03-13T00:00Z
80,3/12/2016 19:20,25.222,6.573,25.708,11.041,2.943,2016-03-13T00:20Z
81,3/12/2016 19:40,24.545,6.37,25.125,10.455,2.837,2016-03-13T00:40Z
82,3/12/2016 20:00,24.062,6.37,24.641,10.161,2.73,2016-03-13T01:00Z
83,3/12/2016 20:20,23.677,6.268,24.255,9.768,2.73,2016-03-13T01:20Z
84,3/12/2016 20:40,23.292,6.166,23.869,9.472,2.624,2016-03-13T01:40Z
85,3/12/2016 21:00,23.004,5.962,23.484,9.176,2.624,2016-03-13T02:00Z
86,3/12/2016 21:20,22.717,5.86,23.196,8.779,2.517,2016-03-13T02:20Z
87,3/12/2016 21:40,22.525,5.655,22.812,8.481,2.517,2016-03-13T02:40Z
88,3/12/2016 22:00,22.333,5.757,22.525,8.282,2.41,2016-03-13T03:00Z
89,3/12/2016 22:20,22.142,5.757,22.238,7.983,2.303,2016-03-13T03:20Z
90,3/12/2016 22:40,22.046,5.86,22.046,7.882,2.303,2016-03-13T03:40Z
91,3/12/2016 23:00,21.855,5.962,21.76,7.582,2.195,2016-03-13T04:00Z
92,3/12/2016 23:20,21.855,5.757,21.473,7.481,2.195,2016-03-13T04:20Z
93,3/12/2016 23:40,21.855,6.064,21.282,7.28,2.088,2016-03-13T04:40Z
94,3/13/2016 0:00,22.238,6.37,20.901,7.079,1.98,2016-03-13T05:00Z
95,3/13/2016 0:20,22.238,6.573,21.282,6.674,1.98,2016-03-13T05:20Z
96,3/13/2016 0:40,22.142,6.37,20.519,6.166,2.088,2016-03-13T05:40Z
97,3/13/2016 1:00,22.046,6.268,20.71,6.064,1.764,2016-03-13T06:00Z
98,3/13/2016 1:20,21.951,5.962,20.901,5.962,1.548,2016-03-13T06:20Z
99,3/13/2016 1:40,21.76,6.268,20.901,5.86,1.439,2016-03-13T06:40Z
100,3/13/2016 2:00,21.664,6.166,20.901,5.757,1.221,2016-03-13T07:00Z
101,3/13/2016 2:20,21.664,6.064,20.424,5.655,1.112,2016-03-13T07:20Z
102,3/13/2016 2:40,21.569,6.471,19.853,5.552,0.893,2016-03-13T07:40Z
103,3/13/2016 3:00,21.569,6.37,19.758,5.552,0.893,2016-03-13T07:00Z
104,3/13/2016 3:20,21.378,6.268,19.758,5.45,0.674,2016-03-13T07:20Z
105,3/13/2016 3:40,21.282,6.471,19.662,5.45,0.563,2016-03-13T07:40Z
106,3/13/2016 4:00,21.187,6.471,19.567,5.347,0.453,2016-03-13T08:00Z
107,3/13/2016 4:20,21.091,7.381,19.472,5.244,0.232,2016-03-13T08:20Z
108,3/13/2016 4:40,20.996,7.782,19.187,5.244,0.232,2016-03-13T08:40Z
109,3/13/2016 5:00,20.805,8.082,19.092,5.141,0.121,2016-03-13T09:00Z
110,3/13/2016 5:20,20.805,8.182,18.996,4.934,0.01,2016-03-13T09:20Z
111,3/13/2016 5:40,20.71,8.382,18.901,4.831,0.01,2016-03-13T09:40Z
112,3/13/2016 6:00,20.71,8.382,18.806,4.727,-0.102,2016-03-13T10:00Z
113,3/13/2016 6:20,20.615,8.481,18.711,4.623,-0.213,2016-03-13T10:20Z
114,3/13/2016 6:40,20.615,8.382,18.616,4.519,-0.213,2016-03-13T10:40Z
115,3/13/2016 7:00,20.615,8.282,18.521,4.519,-0.213,2016-03-13T11:00Z
116,3/13/2016 7:20,20.71,8.481,18.521,4.623,-0.213,2016-03-13T11:20Z
117,3/13/2016 7:40,20.805,8.182,18.331,4.727,-0.102,2016-03-13T11:40Z
118,3/13/2016 8:00,21.091,8.879,18.331,5.141,0.121,2016-03-13T12:00Z
119,3/13/2016 8:20,21.76,8.978,18.331,5.757,0.343,2016-03-13T12:20Z
120,3/13/2016 8:40,22.812,9.176,18.426,6.471,0.674,2016-03-13T12:40Z
121,3/13/2016 9:00,24.545,11.528,18.711,7.28,1.221,2016-03-13T13:00Z
122,3/13/2016 9:20,26.683,11.528,19.092,8.182,1.764,2016-03-13T13:20Z
123,3/13/2016 9:40,28.853,11.916,19.567,8.978,2.41,2016-03-13T13:40Z
124,3/13/2016 10:00,30.76,11.722,21.091,10.357,2.73,2016-03-13T14:00Z
125,3/13/2016 10:20,32.086,12.497,21.664,11.431,2.943,2016-03-13T14:20Z
126,3/13/2016 10:40,31.88,13.558,22.812,12.497,2.837,2016-03-13T14:40Z
127,3/13/2016 11:00,32.086,16.427,23.1,13.75,2.837,2016-03-13T15:00Z
128,3/13/2016 11:20,32.497,15.091,23.1,14.9,3.049,2016-03-13T15:20Z
129,3/13/2016 11:40,33.953,14.134,23.1,13.269,2.943,2016-03-13T15:40Z
130,3/13/2016 12:00,34.374,13.75,23.773,14.421,2.943,2016-03-13T16:00Z
131,3/13/2016 12:20,33.118,13.846,23.966,15.282,3.578,2016-03-13T16:20Z
132,3/13/2016 12:40,32.6,14.038,23.869,16.237,3.788,2016-03-13T16:40Z
133,3/13/2016 13:00,32.291,15.282,24.738,17.189,3.788,2016-03-13T17:00Z
134,3/13/2016 13:20,31.983,15.951,24.835,17.665,4.415,2016-03-13T17:20Z
135,3/13/2016 13:40,31.268,14.517,25.61,18.236,4.102,2016-03-13T17:40Z
136,3/13/2016 14:00,30.659,13.654,26.879,18.616,3.893,2016-03-13T18:00Z
137,3/13/2016 14:20,30.154,13.654,28.06,18.806,3.998,2016-03-13T18:20Z
138,3/13/2016 14:40,29.552,13.558,29.252,18.996,4.102,2016-03-13T18:40Z
139,3/13/2016 15:00,28.853,13.461,29.853,20.615,4.102,2016-03-13T19:00Z
140,3/13/2016 15:20,28.357,13.365,30.255,20.71,4.207,2016-03-13T19:20Z
141,3/13/2016 15:40,28.258,12.883,30.054,20.424,4.207,2016-03-13T19:40Z
142,3/13/2016 16:00,27.764,12.787,29.752,19.948,3.998,2016-03-13T20:00Z
143,3/13/2016 16:20,27.075,13.076,29.252,19.472,3.998,2016-03-13T20:20Z
144,3/13/2016 16:40,26.195,12.883,28.953,19.282,4.102,2016-03-13T20:40Z
145,3/13/2016 17:00,25.708,13.076,28.456,19.282,3.998,2016-03-13T21:00Z
146,3/13/2016 17:20,25.125,12.98,28.159,18.521,3.893,2016-03-13T21:20Z
147,3/13/2016 17:40,24.448,12.98,27.173,18.14,3.788,2016-03-13T21:40Z
148,3/13/2016 18:00,24.062,13.076,26.39,17.475,3.683,2016-03-13T22:00Z
149,3/13/2016 18:20,23.677,13.076,25.805,17.094,3.578,2016-03-13T22:20Z
150,3/13/2016 18:40,23.292,13.269,25.028,16.713,3.472,2016-03-13T22:40Z
151,3/13/2016 19:00,22.908,13.461,24.448,16.427,3.367,2016-03-13T23:00Z
152,3/13/2016 19:20,22.429,13.461,23.773,16.141,3.367,2016-03-13T23:20Z
153,3/13/2016 19:40,22.046,13.461,23.196,15.855,3.261,2016-03-13T23:40Z
154,3/13/2016 20:00,22.812,13.558,22.812,15.569,3.261,2016-03-14T00:00Z
