Identification,Date,Zone,ID,Recovery_T,abundance
Bathymargarites symplector,9,H,2,26.7,0
Bathymargarites symplector,9,H,3,23.2,0
Bathymargarites symplector,9,H,4,24.7,0
Bathymargarites symplector,9,W,6,2.2,0
Bathymargarites symplector,9,W,7,2.2,0
Bathymargarites symplector,9,W,19,6.5,0
Bathymargarites symplector,11,H,30,18.5,0
Bathymargarites symplector,11,H,34,27,0
Bathymargarites symplector,11,H,29,28,0
Bathymargarites symplector,11,W,23,9.6,0
Bathymargarites symplector,11,W,24,7,0
Bathymargarites symplector,11,W,26,9,0
Bathymargarites symplector,11,C,27,3.3,0
Bathymargarites symplector,11,C,31,3.3,0
Bathymargarites symplector,11,C,35,3.7,0
Bathymargarites symplector,22,H,96,10,0
Bathymargarites symplector,22,H,103,17.9,0
Bathymargarites symplector,22,H,129,14.7,0
Bathymargarites symplector,22,W,110,5.8,0
Bathymargarites symplector,22,W,111,2.9,0
Bathymargarites symplector,22,W,109,2.3,0
Bathymargarites symplector,22,C,73,2.4,0
Bathymargarites symplector,22,C,64,2.1,0
Bathymargarites symplector,22,C,113,2,0
Bathymargarites symplector,33,H,S139,2.3,0
Bathymargarites symplector,33,H,S133,4.2,2
Bathymargarites symplector,33,W,138,2.9,0
Bathymargarites symplector,33,W,132,,0
Bathymargarites symplector,96,W,156,3.1,3
Bathymargarites symplector,96,W,158,2.6,5
Bathymargarites symplector,96,W,159,,0
Bathymargarites symplector,108,H,83,2.6,2
Bathymargarites symplector,108,H,164,2.6,3
Bathymargarites symplector,108,H,174,2.7,1
Bathymargarites symplector,108,C,170,1.9,0
Bathymargarites symplector,108,C,171,2.1,3
Bathymargarites symplector,108,C,172,1.9,0
Bathymargarites symplector,135,W,183,,1
Bathymargarites symplector,135,W,184,,4
Bathymargarites symplector,135,W,186,,1
Bathymargarites symplector,135,C,180,2,2
Bathymargarites symplector,135,C,182,2,0
Bathymargarites symplector,135,C,187,2,2
Bathymargarites symplector,Pre,H,215,,0
Bathymargarites symplector,Pre,H,187,3.1,0
Bathymargarites symplector,Pre,H,236,,1
Bathymargarites symplector,Pre,W,184,2,4
Bathymargarites symplector,Pre,W,232,,8
Bathymargarites symplector,Pre,W,224,2.5,0
Bathymargarites symplector,Pre,C,201,2.3,0
Bathymargarites symplector,Pre,C,204,2,0
Bathymargarites symplector,Pre,C,199,2,4
Clypeosectus delectus,9,H,2,26.7,0
Clypeosectus delectus,9,H,3,23.2,0
Clypeosectus delectus,9,H,4,24.7,0
Clypeosectus delectus,9,W,6,2.2,4
Clypeosectus delectus,9,W,7,2.2,0
Clypeosectus delectus,9,W,19,6.5,0
Clypeosectus delectus,11,H,30,18.5,0
Clypeosectus delectus,11,H,34,27,0
Clypeosectus delectus,11,H,29,28,0
Clypeosectus delectus,11,W,23,9.6,0
Clypeosectus delectus,11,W,24,7,0
Clypeosectus delectus,11,W,26,9,0
Clypeosectus delectus,11,C,27,3.3,3
Clypeosectus delectus,11,C,31,3.3,6
Clypeosectus delectus,11,C,35,3.7,1
Clypeosectus delectus,22,H,96,10,0
Clypeosectus delectus,22,H,103,17.9,0
Clypeosectus delectus,22,H,129,14.7,0
Clypeosectus delectus,22,W,110,5.8,8
Clypeosectus delectus,22,W,111,2.9,10
Clypeosectus delectus,22,W,109,2.3,31
Clypeosectus delectus,22,C,73,2.4,19
Clypeosectus delectus,22,C,64,2.1,9
Clypeosectus delectus,22,C,113,2,5
Clypeosectus delectus,33,H,S139,2.3,0
Clypeosectus delectus,33,H,S133,4.2,0
Clypeosectus delectus,33,W,138,2.9,45
Clypeosectus delectus,33,W,132,,63
Clypeosectus delectus,96,W,156,3.1,14
Clypeosectus delectus,96,W,158,2.6,17
Clypeosectus delectus,96,W,159,,31
Clypeosectus delectus,108,H,83,2.6,4
Clypeosectus delectus,108,H,164,2.6,5
Clypeosectus delectus,108,H,174,2.7,3
Clypeosectus delectus,108,C,170,1.9,0
Clypeosectus delectus,108,C,171,2.1,7
Clypeosectus delectus,108,C,172,1.9,3
Clypeosectus delectus,135,W,183,,0
Clypeosectus delectus,135,W,184,,0
Clypeosectus delectus,135,W,186,,0
Clypeosectus delectus,135,C,180,2,2
Clypeosectus delectus,135,C,182,2,0
Clypeosectus delectus,135,C,187,2,0
Clypeosectus delectus,Pre,H,215,,0
Clypeosectus delectus,Pre,H,187,3.1,0
Clypeosectus delectus,Pre,H,236,,0
Clypeosectus delectus,Pre,W,184,2,0
Clypeosectus delectus,Pre,W,232,,0
Clypeosectus delectus,Pre,W,224,2.5,0
Clypeosectus delectus,Pre,C,201,2.3,34
Clypeosectus delectus,Pre,C,204,2,15
Clypeosectus delectus,Pre,C,199,2,8
Ctenopelta porifera,9,H,2,26.7,20
Ctenopelta porifera,9,H,3,23.2,10
Ctenopelta porifera,9,H,4,24.7,45
Ctenopelta porifera,9,W,6,2.2,0
Ctenopelta porifera,9,W,7,2.2,0
Ctenopelta porifera,9,W,19,6.5,1
Ctenopelta porifera,11,H,30,18.5,0
Ctenopelta porifera,11,H,34,27,31
Ctenopelta porifera,11,H,29,28,15
Ctenopelta porifera,11,W,23,9.6,0
Ctenopelta porifera,11,W,24,7,0
Ctenopelta porifera,11,W,26,9,0
Ctenopelta porifera,11,C,27,3.3,0
Ctenopelta porifera,11,C,31,3.3,0
Ctenopelta porifera,11,C,35,3.7,0
Ctenopelta porifera,22,H,96,10,0
Ctenopelta porifera,22,H,103,17.9,2
Ctenopelta porifera,22,H,129,14.7,14
Ctenopelta porifera,22,W,110,5.8,0
Ctenopelta porifera,22,W,111,2.9,0
Ctenopelta porifera,22,W,109,2.3,0
Ctenopelta porifera,22,C,73,2.4,0
Ctenopelta porifera,22,C,64,2.1,0
Ctenopelta porifera,22,C,113,2,0
Ctenopelta porifera,33,H,S139,2.3,0
Ctenopelta porifera,33,H,S133,4.2,0
Ctenopelta porifera,33,W,138,2.9,0
Ctenopelta porifera,33,W,132,,0
Ctenopelta porifera,96,W,156,3.1,0
Ctenopelta porifera,96,W,158,2.6,0
Ctenopelta porifera,96,W,159,,0
Ctenopelta porifera,108,H,83,2.6,0
Ctenopelta porifera,108,H,164,2.6,0
Ctenopelta porifera,108,H,174,2.7,0
Ctenopelta porifera,108,C,170,1.9,0
Ctenopelta porifera,108,C,171,2.1,0
Ctenopelta porifera,108,C,172,1.9,0
Ctenopelta porifera,135,W,183,,0
Ctenopelta porifera,135,W,184,,0
Ctenopelta porifera,135,W,186,,0
Ctenopelta porifera,135,C,180,2,0
Ctenopelta porifera,135,C,182,2,0
Ctenopelta porifera,135,C,187,2,0
Ctenopelta porifera,Pre,H,215,,0
Ctenopelta porifera,Pre,H,187,3.1,0
Ctenopelta porifera,Pre,H,236,,0
Ctenopelta porifera,Pre,W,184,2,0
Ctenopelta porifera,Pre,W,232,,0
Ctenopelta porifera,Pre,W,224,2.5,0
Ctenopelta porifera,Pre,C,201,2.3,0
Ctenopelta porifera,Pre,C,204,2,0
Ctenopelta porifera,Pre,C,199,2,0
Cyathermia naticoides,9,H,2,26.7,1
Cyathermia naticoides,9,H,3,23.2,1
Cyathermia naticoides,9,H,4,24.7,6
Cyathermia naticoides,9,W,6,2.2,0
Cyathermia naticoides,9,W,7,2.2,0
Cyathermia naticoides,9,W,19,6.5,1
Cyathermia naticoides,11,H,30,18.5,0
Cyathermia naticoides,11,H,34,27,6
Cyathermia naticoides,11,H,29,28,3
Cyathermia naticoides,11,W,23,9.6,0
Cyathermia naticoides,11,W,24,7,0
Cyathermia naticoides,11,W,26,9,0
Cyathermia naticoides,11,C,27,3.3,2
Cyathermia naticoides,11,C,31,3.3,0
Cyathermia naticoides,11,C,35,3.7,1
Cyathermia naticoides,22,H,96,10,0
Cyathermia naticoides,22,H,103,17.9,973
Cyathermia naticoides,22,H,129,14.7,390
Cyathermia naticoides,22,W,110,5.8,3
Cyathermia naticoides,22,W,111,2.9,0
Cyathermia naticoides,22,W,109,2.3,0
Cyathermia naticoides,22,C,73,2.4,0
Cyathermia naticoides,22,C,64,2.1,1
Cyathermia naticoides,22,C,113,2,0
Cyathermia naticoides,33,H,S139,2.3,0
Cyathermia naticoides,33,H,S133,4.2,1
Cyathermia naticoides,33,W,138,2.9,0
Cyathermia naticoides,33,W,132,,0
Cyathermia naticoides,96,W,156,3.1,0
Cyathermia naticoides,96,W,158,2.6,0
Cyathermia naticoides,96,W,159,,0
Cyathermia naticoides,108,H,83,2.6,0
Cyathermia naticoides,108,H,164,2.6,1
Cyathermia naticoides,108,H,174,2.7,0
Cyathermia naticoides,108,C,170,1.9,0
Cyathermia naticoides,108,C,171,2.1,0
Cyathermia naticoides,108,C,172,1.9,0
Cyathermia naticoides,135,W,183,,0
Cyathermia naticoides,135,W,184,,0
Cyathermia naticoides,135,W,186,,0
Cyathermia naticoides,135,C,180,2,0
Cyathermia naticoides,135,C,182,2,0
Cyathermia naticoides,135,C,187,2,0
Cyathermia naticoides,Pre,H,215,,1
Cyathermia naticoides,Pre,H,187,3.1,0
Cyathermia naticoides,Pre,H,236,,0
Cyathermia naticoides,Pre,W,184,2,0
Cyathermia naticoides,Pre,W,232,,0
Cyathermia naticoides,Pre,W,224,2.5,0
Cyathermia naticoides,Pre,C,201,2.3,0
Cyathermia naticoides,Pre,C,204,2,0
Cyathermia naticoides,Pre,C,199,2,0
Eulepetopsis vitrea,9,H,2,26.7,0
Eulepetopsis vitrea,9,H,3,23.2,0
Eulepetopsis vitrea,9,H,4,24.7,0
Eulepetopsis vitrea,9,W,6,2.2,2
Eulepetopsis vitrea,9,W,7,2.2,0
Eulepetopsis vitrea,9,W,19,6.5,0
Eulepetopsis vitrea,11,H,30,18.5,0
Eulepetopsis vitrea,11,H,34,27,0
Eulepetopsis vitrea,11,H,29,28,0
Eulepetopsis vitrea,11,W,23,9.6,0
Eulepetopsis vitrea,11,W,24,7,0
Eulepetopsis vitrea,11,W,26,9,0
Eulepetopsis vitrea,11,C,27,3.3,0
Eulepetopsis vitrea,11,C,31,3.3,0
Eulepetopsis vitrea,11,C,35,3.7,1
Eulepetopsis vitrea,22,H,96,10,0
Eulepetopsis vitrea,22,H,103,17.9,0
Eulepetopsis vitrea,22,H,129,14.7,0
Eulepetopsis vitrea,22,W,110,5.8,12
Eulepetopsis vitrea,22,W,111,2.9,14
Eulepetopsis vitrea,22,W,109,2.3,6
Eulepetopsis vitrea,22,C,73,2.4,8
Eulepetopsis vitrea,22,C,64,2.1,3
Eulepetopsis vitrea,22,C,113,2,2
Eulepetopsis vitrea,33,H,S139,2.3,2
Eulepetopsis vitrea,33,H,S133,4.2,1
Eulepetopsis vitrea,33,W,138,2.9,8
Eulepetopsis vitrea,33,W,132,,6
Eulepetopsis vitrea,96,W,156,3.1,97
Eulepetopsis vitrea,96,W,158,2.6,104
Eulepetopsis vitrea,96,W,159,,11
Eulepetopsis vitrea,108,H,83,2.6,16
Eulepetopsis vitrea,108,H,164,2.6,16
Eulepetopsis vitrea,108,H,174,2.7,16
Eulepetopsis vitrea,108,C,170,1.9,3
Eulepetopsis vitrea,108,C,171,2.1,12
Eulepetopsis vitrea,108,C,172,1.9,2
Eulepetopsis vitrea,135,W,183,,0
Eulepetopsis vitrea,135,W,184,,0
Eulepetopsis vitrea,135,W,186,,1
Eulepetopsis vitrea,135,C,180,2,1
Eulepetopsis vitrea,135,C,182,2,0
