scan,timeY,prDM,t090C,t190C,c0S/m,c1S/m,V0,V1,V2,V3,V4,V5,sbeox0V,sbeox1V,CStarAt0,CStarTr0,flECO-AFL,turbWETntu0,par,latitude,longitude,depSM,potemp090C,potemp190C,sal00,sal11,sigma-é00,sigma-é11,sbeox0Mg/L,sbeox0Mm/L,sbeox1Mg/L,sbeox1Mm/L,oxsolMg/L,oxsatMg/L,dm,sva,T2-T190C,secS-priS,flag
1,1551416593,13.129,17.9078,17.9066,4.612163,4.612532,2.7009,4.4811,2.9609,0,0.2051,0.0806,4.4811,-1.23E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.042,17.9056,17.9044,35.2655,35.2697,25.4988,25.5023,11.9951,374.852,-1.9915,-62.235,7.67684,7.66553,0,247.805,-0.0012,0.0042,0.00E+00
2,1551416593,13.13,17.9079,17.9069,4.6122,4.612497,2.7009,4.4811,2.9609,0,0.2051,0.0806,4.4811,-1.25E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.043,17.9057,17.9047,35.2658,35.2692,25.4989,25.5018,11.9951,374.851,-1.9915,-62.235,7.67681,7.6655,0,247.791,-0.001,0.0034,0.00E+00
3,1551416593,13.13,17.9083,17.9067,4.612253,4.612453,2.7009,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.26E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.043,17.9061,17.9045,35.2659,35.269,25.4989,25.5017,11.995,374.848,-1.9915,-62.235,7.67675,7.66544,0,247.792,-0.0016,0.0031,0.00E+00
4,1551416593,13.13,17.9085,17.9071,4.612269,4.612497,2.6996,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.27E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.043,17.9063,17.9049,35.2658,35.269,25.4988,25.5016,11.9949,374.847,-1.9915,-62.235,7.67672,7.66541,0,247.8,-0.0014,0.0032,0.00E+00
5,1551416593,13.131,17.9083,17.9069,4.612201,4.612497,2.7009,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.29E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.044,17.9061,17.9047,35.2654,35.2692,25.4986,25.5018,11.995,374.849,-1.9915,-62.235,7.67677,7.66546,0,247.825,-0.0014,0.0037,0.00E+00
6,1551416593,13.133,17.9083,17.9069,4.612201,4.612497,2.7009,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.30E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.046,17.9061,17.9047,35.2654,35.2692,25.4986,25.5018,11.995,374.849,-1.9915,-62.235,7.67677,7.66546,0,247.825,-0.0014,0.0037,0.00E+00
7,1551416593,13.135,17.9083,17.9071,4.612201,4.612512,2.7009,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.31E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.048,17.9061,17.9049,35.2654,35.2691,25.4986,25.5017,11.995,374.849,-1.9915,-62.235,7.67677,7.66546,0,247.825,-0.0012,0.0037,0.00E+00
8,1551416593,13.137,17.9083,17.9071,4.612194,4.612512,2.6996,4.4811,2.9621,0,0.2051,0.0806,4.4811,-1.32E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.05,17.9061,17.9049,35.2654,35.2691,25.4985,25.5017,11.995,374.849,-1.9915,-62.235,7.67677,7.66546,0,247.829,-0.0012,0.0038,0.00E+00
9,1551416593,13.141,17.9082,17.9071,4.612194,4.612512,2.7009,4.4811,2.9731,0,0.2051,0.0806,4.4811,-1.34E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.054,17.906,17.9049,35.2655,35.2691,25.4986,25.5017,11.995,374.85,-1.9915,-62.235,7.67678,7.66547,0,247.821,-0.0011,0.0037,0.00E+00
10,1551416593,13.144,17.9082,17.9071,4.612194,4.612512,2.6996,4.4811,2.9731,0,0.2051,0.0806,4.4811,-1.35E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.057,17.906,17.9049,35.2655,35.2691,25.4986,25.5017,11.995,374.85,-1.9915,-62.235,7.67678,7.66547,0,247.821,-0.0011,0.0037,0.00E+00
