cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,bin_0_0_to_0_5,bin_gt_0_5_to_1_0,bin_gt_1_0_to_1_5,bin_gt_1_5_to_2_0,bin_gt_2_0_to_2_5,bin_gt_2_5_to_3_0,bin_gt_3_0_to_3_5,bin_gt_3_5_to_4_0,bin_gt_4_0_to_4_5,bin_gt_4_5
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,73.97,2004-12-23,02:55:00,2004-12-22T13:55Z,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,87.03,2004-12-23,02:55:00,2004-12-22T13:55Z,0.74,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.0
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,103.44,2004-12-23,02:55:00,2004-12-22T13:55Z,0.74,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,105.28,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,113.11,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,175.0,2004-12-23,02:55:00,2004-12-22T13:55Z,1.11,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.74
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,180.02,2004-12-23,02:55:00,2004-12-22T13:55Z,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,196.04,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,207.28,2004-12-23,02:55:00,2004-12-22T13:55Z,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1.11
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,217.41,2004-12-23,02:55:00,2004-12-22T13:55Z,1.11,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.74,0.0,0.0
