cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,snow_bin_0_0_to_0_5,snow_bin_gt_0_5_to_1_0,snow_bin_gt_1_0_to_1_5,snow_bin_gt_1_5_to_2_0,snow_bin_gt_2_0_to_2_5,snow_bin_gt_2_5_to_3_0,snow_bin_gt_3_0_to_3_5,snow_bin_gt_3_5_to_4_0,snow_bin_gt_4_0_to_4_5,snow_bin_gt_4_5,phaeo_bin_0_0_to_0_5,phaeo_bin_gt_0_5_to_1_0,phaeo_bin_gt_1_0_to_1_5,phaeo_bin_gt_1_5_to_2_0,phaeo_bin_gt_2_0_to_2_5,phaeo_bin_gt_2_5_to_3_0,phaeo_bin_gt_3_0_to_3_5,phaeo_bin_gt_3_5_to_4_0,phaeo_bin_gt_4_0_to_4_5,phaeo_bin_gt_4_5
IVARS 1-1,G,G,2,-76.987,171.935,42.75,2001-12-20,,,3.57,0.56,2.46,0.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,43.86,2001-12-20,,,3.13,0.22,2.35,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,45.11,2001-12-20,,,5.03,1.12,3.13,0.56,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,46.35,2001-12-20,,,3.24,0.56,2.23,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,47.7,2001-12-20,,,3.13,0.67,2.01,0.22,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,49.06,2001-12-20,,,3.02,0.22,2.57,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,50.28,2001-12-20,,,3.24,0.11,2.46,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,51.81,2001-12-20,,,3.46,0.67,2.23,0.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,53.19,2001-12-20,,,4.13,0.78,2.35,0.67,0.22,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,54.12,2001-12-20,,,4.8,0.67,3.35,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,55.68,2001-12-20,,,3.35,0.67,2.01,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,56.76,2001-12-20,,,3.8,0.45,3.24,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,58.18,2001-12-20,,,2.23,0.45,1.12,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,59.73,2001-12-20,,,4.02,0.56,2.57,0.67,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,60.8,2001-12-20,,,3.69,0.56,2.46,0.45,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,61.98,2001-12-20,,,4.24,0.67,2.12,1.23,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,63.58,2001-12-20,,,3.46,0.56,2.23,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,64.83,2001-12-20,,,2.68,0.22,1.68,0.67,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,66.08,2001-12-20,,,4.91,0.67,3.13,0.78,0.34,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,67.33,2001-12-20,,,4.02,0.45,2.57,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,68.71,2001-12-20,,,3.02,0.56,2.01,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,69.83,2001-12-20,,,4.8,0.67,2.79,1.23,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,71.1,2001-12-20,,,3.69,0.45,2.12,0.89,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,72.69,2001-12-20,,,2.35,0.11,1.68,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,73.58,2001-12-20,,,1.56,0.0,0.89,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,75.18,2001-12-20,,,3.13,0.22,1.79,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,76.49,2001-12-20,,,2.9,0.34,2.01,0.45,0.0,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,77.55,2001-12-20,,,7.15,1.12,4.58,1.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,78.73,2001-12-20,,,5.36,0.56,3.91,0.78,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,80.25,2001-12-20,,,4.47,0.34,2.9,0.89,0.34,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,81.56,2001-12-20,,,2.79,0.22,1.68,0.78,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,82.72,2001-12-20,,,2.01,0.45,1.12,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,84.05,2001-12-20,,,3.46,0.56,2.12,0.67,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,85.27,2001-12-20,,,10.16,2.35,6.03,1.45,0.34,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,86.56,2001-12-20,,,3.8,0.34,2.46,0.67,0.34,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,88.16,2001-12-20,,,3.13,0.34,1.79,0.78,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,89.14,2001-12-20,,,2.68,0.56,1.45,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,90.38,2001-12-20,,,3.24,0.67,1.68,0.45,0.11,0.11,0.22,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,91.66,2001-12-20,,,1.68,0.34,0.67,0.45,0.0,0.22,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,93.21,2001-12-20,,,3.8,0.45,2.68,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,94.55,2001-12-20,,,3.46,0.45,2.57,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,95.87,2001-12-20,,,4.24,0.45,2.46,1.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,97.05,2001-12-20,,,2.9,0.56,1.01,0.89,0.22,0.11,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,97.91,2001-12-20,,,4.58,0.22,3.13,0.78,0.45,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,99.55,2001-12-20,,,1.9,0.45,1.01,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
IVARS 1-1,G,G,2,-76.987,171.935,100.98,2001-12-20,,,4.13,0.56,2.12,1.01,0.45,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
